Decade,Song,Film,Year,MusicDirector,Lyricist,Singer1,Singer2,Singer3
1950s,ye kaisii adaaye.n hai.n unakii adaaye.n -  View,Raagrang (1952),1952,Roshan,Kaif Irfani,Lata,,
1950s,o jaanevale raahii ruk jaanaa -  View,Raahi (1953),1953,Anil Biswas,Prem Dhawan,Lata,,
1950s,aaj na jaane rah rah kyuu.N dil ye meraa Dole -  View,Raaj Tilak (1958),1958,C Ramachandra,P L Santoshi,Lata,,
1950s,gorii gorii chaa.Ndanii aur puunam kii raat re -  View,Raajaa Harishchandra (1952),1952,Husnlal-Bhagatram,Bharat Vyas,Lata,,
1950s,aa jaa aaaja aa jaa pukaaraa dil ne -  View,Raajdhaani (1956),1956,Hansraj Behl,Asad Bhopali,Lata,,
1950s,chhuuT jaa_e.N Gam ke haatho.n ... din Kushiyo.n ke ... -  View,Raajdhaani (1956),1956,Hansraj Behl,Qamar Jalalabadi,Lata,,
1950s,bhuul jaa sapane suhaane ... kaise tujhako bhulaa_uu.N -  View,Raajdhaani (1956),1956,Hansraj Behl,Qamar Jalalabadi,Lata, Talat,
1950s,a.ntar ma.ntar ja.ntar se maidaan liyaa hai maar -  View,Raajhath (1956),1956,Shankar-Jaikishan,Hasrat,Lata, Usha,
1950s,aajaa aajaa nadiyaa kinaare -  View,Raajhath (1956),1956,Shankar-Jaikishan,Shailendra,Lata,,
1950s,mere sapane me.n aanaa re saajanaa -  View,Raajhath (1956),1956,Shankar-Jaikishan,Shailendra,Lata,,
1950s,sun sakhii more man kii baat ... nadiyaa kinaare phi... -  View,Raajhath (1956),1956,Shankar-Jaikishan,Shailendra,Lata,,
1950s,ye vaadaa karo chaa.Nd ke saamane -  View,Raajhath (1956),1956,Shankar-Jaikishan,Hasrat,Lata, Mukesh,
1950s,mere to giridhar gopaal duusaraa na koii -  View,Raajraani Meera (1956),1956,S N Tripathi,"Meerabai, B D Mishra",Lata,,
1950s,"aao re, aao re, aao re -  View",Raajrani Meera (1956),1956,SN Tripathi,"Meerabai, BD Mishra",Lata,,
1980s,machal machal jaataa hai dil soch kal kii baate.n -  View,Raam Tere Kitne Naam (1985),1985,R D Burman,Gulshan Bawra,Lata,,
1980s,ma.nzil thii kahii.n jaanaa thaa kahii.n -  View,Raam Tere Kitne Naam (1985),1985,R D Burman,Gulshan Bawra,Lata,,
1980s,husn pahaa.Do.n kaa -  View,Raam Teri Ganga Maili (1985),1985,Ravindra Jain,Ravindra Jain,Lata, Suresh Wadkar,
1980s,sun saayabaa sun pyaar kii dhun ... ho maine tujhe c... -  View,Raam Teri Gangaa Maili (1985),1985,Ravindra Jain,Ravindra Jain,Lata,,
1980s,tujhe bulaaye.n ye merii baahe.n -  View,Raam Teri Gangaa Maili (1985),1985,Ravindra Jain,Hasrat,Lata,,
1980s,"ek raadhaa, ek miiraa ... ik prem diivaanii, ik dara... -  View",Raam Teri Gangaa Maili (1985),1985,Ravindra Jain,Ravindra Jain,Lata,,
1970s,alabelaa re alabelaa re ruk jaanaa -  View,Raampur Ka Lakshman (1972),1972,R D Burman,Majrooh,Lata,,
1960s,"dil kii girah khol do, chup na baiTho, koii giit gaao -  View",Raat Aur Din (1967),1967,Shankar-Jaikishan,Shailendra,Lata, Manna Dey,
1960s,jiinaa hamako raas na aayaa -  View,Raat Aur Din (1967),1967,Shankar-Jaikishan,Shailendra,Lata,,
1960s,na chhe.Do kal ke afasaane karo is raat kii baate.n -  View,Raat Aur Din (1967),1967,Shankar-Jaikishan,Shailendra,Lata,,
1960s,"raat aur din diyaa jale, mere man me.n phir bhii a.n... -  View",Raat Aur Din (1967),1967,Shankar-Jaikishan,Hasrat,Lata,,
1960s,aavaaraa ai mere dil -  View,Raat Aur Din (1967),1967,Shankar-Jaikishan,Shailendra,Lata,,
1960s,"agar bevafaa tumako pahachaan jaate, khudaa kii qasa... -  View",Raat Ke Andhere Mein (1969),1969,Prem Dhawan,Prem Dhawan,Rafi,Lata,
1960s,akele hai.n chale aa_o jahaa.N ho -  View,Raaz (1967),1967,Kalyanji-Anandji,Shamim Jaipuri,Rafi,Lata,
1950s,jiyaa kho gayaa ... mai.n kahuu.N to kahuu.N kaise ho -  View,Railway Platform (1955),1955,Madan Mohan,Sahir,Lata,,
1950s,chaa.Nd maddham hai aasmaan chup hai -  View,Railway Platform (1955),1955,Madan Mohan,Sahir,Lata,,
1960s,aa jaa aaii bahaar dil hai beqaraar o mere raajakumaar -  View,Raj Kumar (1964),1964,Shankar-Jaikishan,Shailendra,Lata,,
1960s,naach re man badkammaa Thumak\-Thumak badakammaa -  View,Raj Kumar (1964),1964,Shankar-Jaikishan,Shailendra,Lata, Asha,
1960s,meraa naam hai chamelii -  View,Raja Aur Rank (1968),1968,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1960s,tuu kitanii achchhii hai ... o maa.N -  View,Raja Aur Rank (1968),1968,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,mubaarak ho tujhe ai dil -  View,Raja Jani (1972),1972,Laxmikant-Pyarelal,Anand Bakshi,Lata,,
1970s,rajaniiga.ndhaa phuul tumhaare mahake yuu.N hii jiiv... -  View,Rajni Gandhaa (1974),1974,Salil Chowdhury,Yogesh,Lata,,
1960s,"Dar laage garaje badariyaa, saavan kii rut kajaraa r... -  View",Ram Rajya (1967),1967,Vasant Desai,Bharat Vyas,Lata,,
1970s,"gum hai kisii ke pyaar me.n, dil subah shaam -  View",Rampur Ka Laxman (1972),1972,R D Burman,Majrooh,Lata, Kishore,
2000s,lukaa-chhupii bahut huii -  View,Rang De Basanti (2006),2006,A R Rahman,Prasoon Joshi,Lata, A R Rahman,
1950s,koii dard hamaaraa kyaa samajhe koii haal hamaaraa k... -  View,Rangeelee (1952),1952,Chic Chocolate,Raja Mehdi Ali Khan,Lata,,
1950s,ham jaage.n jag soye rii aali -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata,,
1950s,more baalamaa ho more saajanaa ho -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata, Geeta,
1950s,more baalamaa ho more saajanaa ho -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata, Geeta, Chorus
1950s,sakhii hamaaro aTal suhaag shyaam sapane me.n aaye -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata,,
1950s,ajii o gokul ke gwaale -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata, Geeta,
1950s,bahut aasaan hai chilaman se lagakar muskuraanaa -  View,Rangeen Raaten (1956),1956,Roshan,Kedar Sharma,Lata, Rafi,
1950s,jiivan kii biinaa kaa taar bole -  View,Rani Rupmati (1959),1959,S N Tripathi,Bharat Vyas,Lata,,
1950s,"phulabagiyaa me.n bulabul bole, Daal pe bole koyaliyaa -  View",Rani Rupmati (1959),1959,S N Tripathi,Bharat Vyas,Lata, Rafi / Rafi,
1950s,"raat suhaanii, jhuume javaanii -  View",Rani Rupmati (1959),1959,S N Tripathi,Bharat Vyas,Lata,,
1950s,chho.D chalaa kyuu.N ... aajaa aajaa bha.Nwar suunii... -  View,Rani Rupmati (1959),1959,S N Tripathi,Bharat Vyas,Lata,,
1950s,vo ham se chup hai.n ham un se chup hai.n dilo.n ke ... -  View,Rasiyaa (1950s),950s,Bulo C Rani,D N Madhok,Lata,,
1950s,aaise hai.n sukh sapan hamaare -  View,Ratnaghar (1955),1955,Sudhir Phadke,Narendra Sharma,Lata,,
1950s,tumhe.n baa.Ndhane ke liye mere paas aur kyaa hai -  View,Ratnaghar (1955),1955,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1980s,"ai dil\-e\-naadaa.n, ai dil\-e\-naadaa.n, aarazuu ky... -  View",Raziaa Sultaan (1983),1983,Khayyam,Jaan Nisar Akhtar,Lata,,
1980s,"jalataa hai badan, ho, ha_y! jalataa hai badan -  View",Raziaa Sultaan (1983),1983,Khayyam,,Lata,,
1980s,Kvaab ban kar koii aayegaa -  View,Raziaa Sultaan (1983),1983,Khayyam,,Lata,,
1970s,ik miiThii sii chubhan -  View,Reshamaa Aur Sheraa (1971),1971,Jaidev,Udhav Kumar,Lata,,
1970s,"tuu cha.ndaa mai.n chaa.ndanii, tuu taruvar mai.n sh... -  View",Reshamaa Aur Sheraa (1971),1971,Jaidev,Balkavi Bairagi,Lata,,
1950s,saajan se pahalii baar ham kaise bole.n haay -  View,Rishtaa (1954),1954,K Datta,Pt Phaani,Lata,,
1980s,"chhoTaa saa bhaiyaa hamaaraa, bahanaa ke dil kaa dul... -  View",Rishtaa Kaagaz Kaa (1983),1983,Rajesh Roshan,Majrooh,Lata,,
1970s,haay haay ye majabuurii ye mausam aur ye duurii -  View,Roti Kapada Aur Makaan (1974),1974,Laxmikant-Pyarelal,Verma Malik,Lata,,
1990s,jhuuTi-muuThi mitavaa aavan bole -  View,Rudaali (1993),1993,Bhupen Hazarika,Gulzar,Lata,,
1990s,"samay o dhiire chalo, bujh ga_ii raah se chhaa.Nv -  View",Rudaali (1993),1993,Bhupen Hazarika,Gulzar,Bhupen Hazarika,Lata,Asha
1990s,"dil huu.N huu.N kare, ghabaraae -  View",Rudaali (1993),1993,Bhupen Hazarika,Gulzar,Bhupen Hazarika ,Lata,
1960s,ek nazar kisii ne dekhaa aur dil huaa diivaanaa -  View,Rungoli (1962),1962,Shankar-Jaikishan,Shailendra,Lata, Kishore,
1960s,jaao jaao na.nd ke laalaa -  View,Rungoli (1962),1962,Shankar-Jaikishan,Shailendra,Lata,,
1960s,ai dilarubaa nazare.n milaa -  View,Rustom Sohrab (1963),1963,Sajjad Hussain,Jaan Nisar Akhtar,Lata,,
1960s,resham kii Dorii -  View,Saajan (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Lata, Rafi,
1960s,saajan saajan pukaaruu.N galiyo.n me.n -  View,Saajan (1969),1969,Laxmikant-Pyarelal,Anand Bakshi,Rafi,Lata,
1950s,ishq me.n jo kuchh na honaa thaa -  View,Saaqi (1952),1952,C Ramachandra,Rajinder Krishan,Lata,,
1950s,aarazuu_e.N ro rahii hai.n ... kise maaluum thaa ik ... -  View,Saaqi (1952),1952,C Ramachandra,Rajinder Krishan,Lata, Talat,
1960s,ko_ii ghar aayegaa pyaar jagaayegaa -  View,Saaranga (1960),1960,Sardar Malik,Bharat Vyas,Lata, Chorus,
1960s,lagii tumase lagan saathii chhuuTe na -  View,Saarangaa (1960),1960,Sardar Malik,Bharat Vyas,Lata, Mukesh,
1960s,saajan ye mat jaaniyo ... piyaa kaise miluu.N tumase -  View,Saarangaa (1960),1960,Sardar Malik,Bharat Vyas,Lata, Rafi,
1960s,mai.n to pyaar se tere piyaa maa.Ng sajaa_uu.Ngii -  View,Saathi (1968),1968,Naushad,Majrooh,Lata,,
1960s,"mere jiivan saathii, kalii thii mai.n to pyaasii -  View",Saathi (1968),1968,Naushad,Majrooh,Lata,,
1960s,"ye kaun aayaa, roshan ho ga_ii mahafil kisake naam se -  View",Saathi (1968),1968,Naushad,Shakeel,Lata,,
1950s,nain dvaar se man me.n vo aake tan me.n aag lagaae -  View,Saawan (1959),1959,Hansraj Behl,Prem Dhawan,Lata,,
1960s,na phuulo.n kii duniyaa ... paayaliyaa baavarii baaje -  View,Saaz Aur Awaz (1966),1966,Naushad,Khumar Barabankvi,Lata, Chorus,
1980s,duuriyaa.N sab miTaa do -  View,Saboot (1980),1980,Bappi Lahiri,Amit Khanna,Lata,,
1970s,bahii jaiyo na raanii bahii jaiyo na -  View,Sabse Bada Rupaiya (1976),1976,Basu-Manohari,Majrooh,Lata, Usha Mangeshkar,
1950s,mere dil ke ta.Dapane kaa tamaashaa -  View,Sabz Baagh (1951),1951,Vinod,Aziz Kashmiri,Lata,,
1990s,tumhaarii yaad me.n ... dil meraa beqaraar hai -  View,Sadak (1991),1991,Hemant Kumar,Ravi Shankar,Lata,,
1950s,kaho jii tum kyaa\-kyaa Kariidoge -  View,Sadhna (1958),1958,N Dutta,Sahir,Lata,,
1970s,"ham the jinake sahaare, vo hue naa hamaare -  View",Safar (1970),1970,Kalyanji-Anandji,Indeevar,Lata,,
1950s,##daddy## jii merii ##mummy## ko sataanaa nahii.n ac... -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chorus,
1950s,ham hai.n yahaa.N ... qisamat kaa likhaa ho kar rahe... -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Chorus,
1950s,marate ko maare duniyaa ... jhukatii hai duniyaa -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Rafi," ChitAlka Yagnikr, Chorus"
1950s,o baabuu kaise dil karuu.N qaabuu ... o jaanii -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Ameerbai,
1950s,udhar se tum chale ... muhabbat ho ga_ii bas ek naza... -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata, Rafi,
1950s,zaraa sii der thii baakii ... dil kii kahaanii kahan... -  View,Sagaai (1951),1951,C Ramachandra,Rajinder Krishan,Lata,,
1950s,a.Ndho.n pe dayaa karanaa daataa -  View,Sahaaraa (1958),1958,Hemant Kumar,Bharat Vyas,Lata,,
1950s,rut aaye rut jaaye -  View,Sahaaraa (1958),1958,Hemant Kumar,Bharat Vyas,Lata, Chorus,
1950s,so jaa dukhiyaare dukhiyaa ke pyaare -  View,Sahaaraa (1958),1958,Hemant Kumar,Bharat Vyas,Lata,,
1950s,ban ke suhaagan rahii abhaagan -  View,Sahaaraa (1958),1958,Hemant Kumar,Bharat Vyas,Lata,,
1950s,banake suhaagan rahii abhaagan -  View,Sahaaraa (1958),1958,Hemant Kumar,Bharat Vyas,Lata,,
1970s,mushkil hai jiinaa bedardo.n kii duniyaa me.n -  View,Sahib Bahadur (1977),1977,Madan Mohan,Rajinder Krishan,Lata,,
1950s,havaa me.n dil Dole -  View,Saiyaan (1951),1951,Sajjad Hussain,Rajinder Krishan,Lata, Chorus,
1950s,kaalii kaalii raat re dil ba.Daa sataaye -  View,Saiyaan (1951),1951,Sajjad Hussain,D N Madhok,Lata,,
1950s,khayaalo.n me.n tum ho -  View,Saiyaan (1951),1951,Sajjad Hussain,Hasrat,Lata, Chorus,
1950s,qismat me.n khushii kaa naam nahii.n -  View,Saiyaan (1951),1951,Sajjad Hussain,Rajinder Krishan,Lata,,
1950s,tumhe.n dil diyaa -  View,Saiyaan (1951),1951,Sajjad Hussain,D N Madhok,Lata,,
1950s,vo raat din vo shaam kii guzarii huii kahaaniyaa.N -  View,Saiyaan (1951),1951,Sajjad Hussain,D N Madhok,Lata,,
1950s,"jaa re cha.ndr, jaa re cha.ndr, aur kahii.n jaa re -  View",Sajni (1956),1956,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,ni.ndiyaa bulaane vaalii sapane dikhaane vaalii -  View,Sajni (1956),1956,Sudhir Phadke,Narendra Sharma,Lata,,
1950s,"raat a.ndhiyaarii hai, maat dukhiyaarii hai -  View",Sajni (1956),1956,Sudhir Phadke,Pt. Narendra Sharma,Lata,,
1950s,saajan ke paas chalii sajanii -  View,Sajni (1956),1956,Sudhir Phadke,Narendra Sharma,Lata,,
1950s,merii biinaa ke sur saat re -  View,Saloni (1952),1952,Basant Prakash,Arjun Dev 'Ashq',Lata,,
1950s,mujhe dard tuune ye kyaa -  View,Saloni (1952),1952,Basant Prakash,Arjun Dev Ashk,Lata,,
1950s,gore gore o baa.Nke chhore -  View,Samadhi (1950),1950,C Ramachandra,Rajinder Krishan,Lata, Amirbai,
1950s,abhii shaam aayegii nikale.nge taare -  View,Samadhi (1950),1950,C Ramachandra,Rajinder Krishan,Lata,,
1950s,vo paas aa rahe hai.n ham duur jaa rahe hai.n -  View,Samadhi (1950),1950,C Ramachandra,Rajinder Krishan,Lata,,
1960s,baadalo baraso nayan kii kor se -  View,Sampoorna Ramayan (1961),1961,Vasant Desai,Bharat Vyas,Lata,,
1950s,merii dam bhar na paapan aa.Nkh lagii -  View,Samraat (1954),1954,Hemant Kumar,Rajinder Krishan,Lata,,
1950s,ye Kaamoshiyaa.N ye samaa.N ye taaro.n bharaa aasama... -  View,Samraat (1954),1954,Hemant Kumar,Rajinder Krishan,Lata,Asha,
1950s,bhar bhar aaye a.Nkhiyaa.N -  View,Samrat Chandragupta (1958),1958,Kalyanji Virji Shah,Bharat Vyas,Lata, Rafi,
1950s,chain nahi.n aae kahaa.N dil jaae -  View,Samundar (1957),1957,Madan Mohan,Rajinder Krishan,Lata,,
1960s,mai.n kyaa karuu.N raam mujhe buDDhaa mil gayaa -  View,Sangam (1964),1964,Shankar-Jaikishan,Hasrat,Lata,,
1970s,"kaanhaa bole naa, kaanhaa bole naa -  View",Sangat (1975),1975,Salil Chowdhury,Jaan Nisar Akhtar,Lata, Manna Dey,
1970s,balamaa moraa aa.Ncharaa mahake re -  View,Sangat (1975),1975,Salil Chowdhury,Jan Nisar Akhtar,Lata, Manna Dey,
1950s,dil me.n samaa gaye sajan -  View,Sangdil (1952),1952,Sajjad Hussain,Rajinder Krishan,Lata, Talat,
1950s,wo to chale gaye ai dil yaad se unakii pyaar kar -  View,Sangdil (1952),1952,Sajjad Hussain,Rajinder Krishan,Lata,,
1960s,sakhii kaise dharuu.N mai.n dhiir -  View,Sangeet Samrat Tansen (1962),1962,S N Tripathi,Shailendra,Lata,,
1960s,badalii badalii duniyaa hai merii -  View,Sangeet Samrat Tansen (1962),1962,S N Tripathi,Shailendra,Lata, Mahendra Kapoor,
1950s,naa_ummiid ho ke bhii duniyaa me.n jiye jaate hai.n -  View,Sangeeta (1950),1950,C Ramachandra,P L Santoshi,Lata,,
1950s,jab se milii hai nazar dil hai meraa Dagar magar -  View,Sangeetaa (1950),1950,C Ramachandra,P L Santoshi,Lata, Chorus,
1960s,"vo bhuulii daastaa.n, lo phir yaad aa gayii -  View",Sanjog (1961),1961,Madan Mohan,Rajinder Krishan,Lata,,
1960s,badalii se nikalaa hai chaa.Nd -  View,Sanjog (1961),1961,Madan Mohan,Rajinder Krishan,Lata,,
1980s,yashodaa kaa na.ndalaalaa brij kaa ujaalaa hai -  View,Sanjog (1985),1985,Laxmikant-Pyarelal,Anjaan,Lata,,
1960s,ko_ii bechaaraa dil ko khokar -  View,Sannata (1966),1966,Hemant Kumar,Gulzar,Lata,,
1960s,suunii raat me.n kho ga_e -  View,Sannata (1966),1966,Hemant Kumar,Gulzar,Lata,,
1960s,"aisaa hotaa to nahii.n, aisaa ho jaaye agar -  View",Sannata (1966),1966,Hemant Kumar,Gulzar,Lata,,
1950s,jiyaa lahar lahar laharaaye ke man lalachaaye -  View,Sansaar (1951),1951,M D Parthsarthi,Pt Indra,Lata,,
1950s,pyaaraa hamaaraa munnaa naino.n kaa taaraa -  View,Sansaar (1951),1951,M D Parthsarthi,Pt Indra,Lata,,
1950s,a.Ndhii qismat kise le chalegii kahaa.N -  View,Sanskaar (1952),1952,Roshan,Shailendra,Lata,,
1950s,do naino.n ne jaal bichhaaya -  View,Sanskaar (1952),1952,Roshan,Shailendra,Lata,,
1950s,ha.Nse Tim Tim Tim chhoTe chhoTe taare -  View,Sanskaar (1952),1952,Roshan,Shailendra,Lata,,
1950s,jiinevaale o matavaale zi.ndagii se pyaar kar -  View,Sanskaar (1952),1952,Roshan,Shailendra,Lata,,
1960s,bhor bha_e nit suuraj uge ... Kabar morii naa liinii... -  View,Sant Gyaneshwar (1964),1964,Laxmikant-Pyarelal,Bharat Vyas,Lata,,
1970s,"chal sanyaasii, ma.ndir me.n, teraa chimaTaa merii c... -  View",Sanyaasi (1975),1975,Shankar-Jaikishan,Vishveshvar Sharma,Lata, Mukesh,
1970s,baalii umariyaa bhajan karuu.N kaise -  View,Sanyasi (1975),1975,Shankar-Jaikishan,Vitthal Bhai Patel,Lata, Mukesh,
1960s,ghuu.NghaT haTaa na denaa goriye -  View,Sapan Suhane (1961),1961,Salil Chowdhury,Shailendra,Lata, Chorus,
1960s,naam meraa nimmo mukaam ludhiyaanaa -  View,Sapan Suhane (1961),1961,Salil Chowdhury,Shailendra,Lata, Manna Dey, Dwijen Mukher
1960s,jaane kitanii baar h^Riday se mai.nne -  View,Sapna (1969),1969,Jaidev,V N Mangal,Lata,,
1960s,mai.n to bhuul chalii baabul kaa des -  View,Saraswatichandra (1968),1968,Kalyanji-Anandji,Indeevar,Lata,,
1960s,phuul tumhe.n bhejaa hai khat me.n -  View,Saraswatichandra (1968),1968,Kalyanji-Anandji,Indeevar,Lata, Mukesh,
1960s,chho.D de saarii duniyaa kisii ke lie -  View,Saraswatichandra (1968),1968,Kalyanji-Anandji,Indeevar,Lata,,
1950s,pyaar kii ye talKiyaa.N jo na sah sakuuN to mai.n ky... -  View,Sardaar (1955),1955,Jagmohan 'Sursagar',Kaif Irfani,Lata,,
1950s,jab dil ko sataave Gam tuu chhe.D sakhii saragam -  View,Sargam (1950),1950,C Ramachandra,P L Santoshi,Lata, Chorus,
1950s,mausam-e-bahaar yaar ... yaar va_i va_i -  View,Sargam (1950),1950,C Ramachandra,P L Santoshi,Lata, Chitalkar, Chorus
1950s,suNo shaab ... baap bhalaa na bha_iyaa ... sabase bh... -  View,Sargam (1950),1950,C Ramachandra,P L Santoshi,Lata, Chitalkar," Rafi, Chorus"
1950s,tasviir\-e\-yaar dil se ... ko_ii kisii kaa diiwaana... -  View,Sargam (1950),1950,C Ramachandra,P L Santoshi,Lata,,
1950s,"tinak tin taanii, do din kii zi.ndagaanii -  View",Sargam (1950),1950,C Ramachandra,P L Santoshi,Lata, Saraswati Rani, Chorus
1960s,ek savaal mai.n karuu.N ek savaal tum karo -  View,Sasural (1961),1961,Shankar-Jaikishan,Shailendra,Lata, Rafi,
1960s,jiivan Dor tumhii.n sa.ng baa.Ndhii -  View,Sati Savitri (1964),1964,Laxmikant-Pyarelal,Bharat Vyas,Lata,,
1960s,"tum gagan ke cha.ndramaa ho, mai.n dharaa kii dhuul ... -  View",Sati Savitri (1964),1964,Laxmikant-Pyarelal,Bharat Vyas,Lata, Manna Dey,
1990s,"giilaa giilaa paanii, paanii suriilaa paanii -  View",Satya (1998),1998,Vishal,Gulzar,Lata,,
1960s,do din kii zi.ndagii kaisii hai zi.ndagii -  View,Satyakam (1969),1969,Laxmikant-Pyarelal,Kaifi Azmi,Lata,,
1960s,abhii kyaa sunoge sunaa to ha.Nsoge -  View,Satyakam (1969),1969,Laxmikant-Pyarelal,Kaifi Azmi,Lata,,
1970s,satyam shivam sundaram -  View,Satyam Shivam Sundaram (1978),1978,Laxmikant-Pyarelal,Pt. Narendra Sharma,Lata,,
1970s,sunii jo unake aane kii aahaT -  View,Satyam Shivam Sundaram (1978),1978,Laxmikant-Pyarelal,Narendra Sharma,Lata, Chorus,
1970s,yashomatii maiyaa se bole na.ndalaalaa -  View,Satyam Shivam Sundaram (1978),1978,Laxmikant-Pyarelal,Pt. Narendra Sharma,Lata,,
1960s,ek RRitu aae ek RRitu jaae -  View,Sau Saal Baad (1966),1966,Laxmikant-Pyarelal,Anand Bakshi,Lata, Manna Dey,
1970s,"teraa meraa saath rahe, ho teraa meraa saath rahe -  View",Saudaagar (1973),1973,Ravindra Jain,Ravindra Jain,Lata,,
1950s,biga.D ga_ii kyo.n merii taqadiir banate banate -  View,Saudagar (1951),1951,C Ramachandra,P L Santoshi,Lata,,
1950s,nadiyaa ke paanii o re nadiyaa ke paanii -  View,Saveraa (1958),1958,Sailesh,Shailendra,Lata,,
1950s,chhupaa chhupii o chhupii -  View,Saveraa (1958),1958,Sailesh,Shailendra,Lata, Manna Dey, Chorus
1980s,din pyaar ke aa_e.Nge sajaniyaa -  View,Savere Wali Gaadi (1985),1985,R D Burman,Majrooh,Lata,,
1950s,"dhak dhak dhak, jiyaa kare dhak -  View",Sazaa (1951),1951,S D Burman,Rajinder Krishan,Lata,,
1950s,ham pyaar kii baazii haare -  View,Sazaa (1951),1951,S D Burman,Rajinder Krishan,Lata,,
1950s,tum na jaane kis jahaa.N me.n kho gaye -  View,Sazaa (1951),1951,S D Burman,Sahir,Lata,,
1950s,baat-baat me.n ruuTho na -  View,Seema (1955),1955,Shankar-Jaikishan,Hasrat,Lata,,
1950s,manamohanaa ba.De jhuuThe -  View,Seemaa (1955),1955,Shankar-Jaikishan,Shailendra,Lata,,
1950s,suno chhoTii sii gu.Diyaa kii lambii kahaanii -  View,Seemaa (1955),1955,Shankar-Jaikishan,Hasrat,Lata,,
1960s,jaa jaa jaa re tujhe ham jaan gaye -  View,Sehra (1963),1963,Ramlal,Hasrat,Lata, Rafi,
1960s,"pa.nkh hote to u.D aatii, rasiyaa o zaalimaa -  View",Sehra (1963),1963,Ramlal,Hasrat,Lata,,
1960s,taqadiir kaa fasaanaa jaakar kise sunaa_e.n -  View,Sehra (1963),1963,Ramlal,Hasrat,Rafi ,Lata,
1950s,o chaa.Nd jahaa.N vo jaaye -  View,Shaardaa (1957),1957,C Ramachandra,Rajinder Krishan,Lata, Asha,
1950s,jogan ban jaa_uu.Ngii sai.nyaa tore kaaran -  View,Shabaab (1954),1954,Naushad,Shakeel,Lata,,
1950s,man saajan ne har liinhaa ... jo mai.n jaanatii bisa... -  View,Shabaab (1954),1954,Naushad,Shakeel,Lata,,
1950s,mar ga_e ham jiite jii maalik tere sa.nsaar me.n -  View,Shabaab (1954),1954,Naushad,Shakeel,Lata,,
1950s,marana terii galii me.n jiinaa terii galii me.n -  View,Shabaab (1954),1954,Naushad,Shakeel,Lata,Rafi,
1960s,dil\-vil pyaar\-vyaar mai.n kyaa jaanuu.N re -  View,Shagird (1967),1967,Laxmikant-Pyarelal,Majrooh,Lata,,
1960s,kaanhaa kaanhaa aan pa.Dii mai.n tere dwaar -  View,Shagird (1967),1967,Laxmikant-Pyarelal,Majrooh,Lata,,
1960s,"vo hai.n zaraa khafaa khafaa, to nain yuu.n milaae h... -  View",Shagird (1967),1967,Laxmikant-Pyarelal,Majrooh,Lata, Rafi,
1950s,ghir ghir aayii kaarii badariyaa -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,tum merii zindagii me.n tuufaan banake aaye -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata, Chitalkar,
1950s,ye havaa ye samaa chaa.Ndanii hai javaa.N -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,ye kaisii khushii hai ye kaisaa nashaa hai -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,bahaar aayii magar ... apanaa pataa bataa de -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,chhiin sake to chhiin le -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1950s,chhoTaa saa dekho meraa naadaan baalamaa -  View,Shagoofaa (1953),1953,C Ramachandra,Rajinder Krishan,Lata,,
1960s,"jogii, ham to luT gaye tere pyaar me.n -  View",Shaheed (1965),1965,Prem Dhawan,Prem Dhawan,Lata,,
1980s,jaane do jaane do mujhe jaanaa hai -  View,Shahenshah (1988),1988,Amar-Utpal,Anand Bakshi,Lata, Mohd Aziz,
1940s,aajaa merii duniyaa me.n -  View,Shair (1949),1949,Ghulam Mohammad,Shakeel,Lata,,
1940s,do bichha.De hue dil -  View,Shair (1949),1949,Ghulam Mohammad,Shakeel,Lata, G M Durrani,
1940s,muhabbat par bahaar aatii -  View,Shair (1949),1949,Ghulam Mohammad,Shakeel,Lata,,
1940s,tuu duur hai aa.Nkho.n se ... aajaa merii duniyaa me.n -  View,Shair (1949),1949,Ghulam Mohammad,Shakeel,Lata,,
1980s,ham ne sanam ko Kat likhaa -  View,Shakti (1982),1982,R D Burman,Anand Bakshi,Lata,,
